timestamp,datetime,road_detected,e_d,e_d_dot,e_l,e_l_dot,y_ground,x_ground,fuzzy_v,fuzzy_omega,cmd_v,cmd_omega,avoidance_enabled,system_status
0.076,03:54:33.333,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,unknown
0.147,03:54:33.404,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,unknown
0.248,03:54:33.504,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,unknown
0.347,03:54:33.604,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,unknown
0.447,03:54:33.704,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,unknown
0.548,03:54:33.804,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,unknown
0.648,03:54:33.904,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,unknown
0.748,03:54:34.004,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,unknown
0.848,03:54:34.104,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,unknown
0.947,03:54:34.204,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,unknown
1.047,03:54:34.304,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,unknown
1.147,03:54:34.404,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,unknown
1.247,03:54:34.504,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,unknown
1.347,03:54:34.604,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,unknown
1.447,03:54:34.704,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,unknown
1.548,03:54:34.804,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,unknown
1.648,03:54:34.904,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,unknown
1.747,03:54:35.004,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,unknown
1.847,03:54:35.104,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,unknown
1.947,03:54:35.204,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,unknown
2.048,03:54:35.304,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,unknown
2.147,03:54:35.404,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,unknown
2.247,03:54:35.504,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,unknown
2.347,03:54:35.604,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,unknown
2.447,03:54:35.704,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,unknown
2.548,03:54:35.804,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,unknown
2.647,03:54:35.904,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,unknown
2.747,03:54:36.004,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,unknown
2.847,03:54:36.104,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,unknown
2.947,03:54:36.204,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,unknown
3.047,03:54:36.304,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,unknown
3.148,03:54:36.404,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,unknown
3.247,03:54:36.504,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,unknown
3.347,03:54:36.604,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,unknown
3.447,03:54:36.704,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,unknown
3.547,03:54:36.804,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,unknown
3.647,03:54:36.904,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,unknown
3.747,03:54:37.004,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,unknown
3.847,03:54:37.104,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,unknown
3.948,03:54:37.204,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,unknown
4.047,03:54:37.304,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,unknown
4.148,03:54:37.404,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,unknown
4.247,03:54:37.504,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,unknown
4.348,03:54:37.604,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,unknown
4.448,03:54:37.704,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,unknown
4.548,03:54:37.804,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,unknown
4.648,03:54:37.904,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,unknown
4.747,03:54:38.004,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,unknown
4.847,03:54:38.104,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,unknown
4.947,03:54:38.204,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,unknown
5.047,03:54:38.304,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,unknown
5.147,03:54:38.404,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,unknown
5.247,03:54:38.504,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,unknown
5.347,03:54:38.604,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,unknown
5.447,03:54:38.704,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,unknown
5.547,03:54:38.804,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,unknown
5.647,03:54:38.904,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,unknown
5.747,03:54:39.004,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,unknown
5.847,03:54:39.104,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,unknown
5.947,03:54:39.204,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,unknown
6.047,03:54:39.304,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,unknown
6.147,03:54:39.404,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,unknown
6.248,03:54:39.504,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,unknown
6.347,03:54:39.604,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,unknown
6.447,03:54:39.704,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,unknown
6.547,03:54:39.804,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,unknown
6.647,03:54:39.904,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,unknown
6.747,03:54:40.004,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,unknown
6.847,03:54:40.104,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,unknown
6.947,03:54:40.204,1,0.0000,0.0000,0.3260,0.0000,0.9753,0.3260,0.0000,0.0000,0.0000,0.0000,0,unknown
7.047,03:54:40.304,1,1.9309,2.0800,0.0049,-1.0000,2.9709,0.0049,0.0000,0.0000,0.0000,0.0000,0,unknown
7.147,03:54:40.404,1,1.9309,0.0000,0.0049,0.0000,2.9709,0.0049,0.0000,0.0000,0.0000,0.0000,1,fuzzy_control_active
7.247,03:54:40.504,1,1.9309,0.0000,0.0049,0.0000,2.9709,0.0049,0.5555,0.0000,0.0000,0.0000,1,fuzzy_control_active
7.347,03:54:40.604,1,1.9309,0.0000,0.0049,0.0000,2.9709,0.0049,0.5555,0.0000,0.5555,0.0000,1,fuzzy_control_active
7.447,03:54:40.704,1,1.9309,0.0000,0.0049,0.0000,2.9709,0.0049,0.5555,0.0000,0.5555,0.0000,1,fuzzy_control_active
7.547,03:54:40.804,1,1.9309,0.0000,0.0049,0.0000,2.9709,0.0049,0.5555,0.0000,0.5555,0.0000,1,fuzzy_control_active
7.647,03:54:40.904,1,1.9309,0.0000,0.0049,0.0000,2.9709,0.0049,0.5555,0.0000,0.5555,0.0000,1,fuzzy_control_active
7.747,03:54:41.004,1,1.9309,0.0000,0.0049,0.0000,2.9709,0.0049,0.5555,0.0000,0.5555,0.0000,1,fuzzy_control_active
7.847,03:54:41.104,1,1.9309,0.0000,0.0049,0.0000,2.9709,0.0049,0.5555,0.0000,0.5555,0.0000,1,fuzzy_control_active
7.947,03:54:41.204,1,1.9309,0.0000,0.0049,0.0000,2.9709,0.0049,0.5555,0.0000,0.5555,0.0000,1,fuzzy_control_active
8.047,03:54:41.304,1,1.9309,0.0000,0.0049,0.0000,2.9709,0.0049,0.5555,0.0000,0.5555,0.0000,1,fuzzy_control_active
8.147,03:54:41.404,1,1.9309,0.0000,0.0049,0.0000,2.9709,0.0049,0.5555,0.0000,0.5555,0.0000,1,fuzzy_control_active
8.247,03:54:41.504,1,1.9309,0.0000,0.0049,0.0000,2.9709,0.0049,0.5555,0.0000,0.5555,0.0000,1,fuzzy_control_active
8.347,03:54:41.604,1,1.9309,0.0000,0.0049,0.0000,2.9709,0.0049,0.5555,0.0000,0.5555,0.0000,1,fuzzy_control_active
8.447,03:54:41.704,1,1.9309,0.0000,0.0049,0.0000,2.9709,0.0049,0.5555,0.0000,0.5555,0.0000,1,fuzzy_control_active
8.547,03:54:41.804,1,1.9309,0.0000,0.0049,0.0000,2.9709,0.0049,0.5555,0.0000,0.5555,0.0000,1,fuzzy_control_active
8.647,03:54:41.904,1,1.9309,0.0000,0.0049,0.0000,2.9709,0.0049,0.5555,0.0000,0.5555,0.0000,1,fuzzy_control_active
8.747,03:54:42.004,1,1.9309,0.0000,0.0049,0.0000,2.9709,0.0049,0.5555,0.0000,0.5555,0.0000,1,fuzzy_control_active
8.847,03:54:42.104,1,1.9309,0.0000,0.0049,0.0000,2.9709,0.0049,0.5555,0.0000,0.5555,0.0000,1,fuzzy_control_active
8.947,03:54:42.204,1,1.9309,0.0000,0.0049,0.0000,2.9709,0.0049,0.5555,0.0000,0.5555,0.0000,1,fuzzy_control_active
9.047,03:54:42.304,1,1.9487,0.1739,0.0049,0.0000,2.9887,0.0049,0.5601,0.0000,0.5555,0.0000,1,fuzzy_control_active
9.147,03:54:42.404,1,1.9487,0.0000,0.0049,0.0000,2.9887,0.0049,0.5602,0.0000,0.5601,0.0000,1,fuzzy_control_active
9.247,03:54:42.504,1,1.9309,-0.1928,0.0049,0.0000,2.9709,0.0049,0.5498,0.0000,0.5602,0.0000,1,fuzzy_control_active
9.347,03:54:42.604,1,1.9309,0.0000,0.0049,0.0000,2.9709,0.0049,0.5515,0.0000,0.5515,0.0000,1,fuzzy_control_active
9.447,03:54:42.704,1,1.9487,0.1786,0.0049,0.0000,2.9887,0.0049,0.5574,0.0000,0.5574,0.0000,1,fuzzy_control_active
9.547,03:54:42.804,1,1.9309,-0.1700,0.0049,0.0000,2.9709,0.0049,0.5485,0.0000,0.5485,0.0000,1,fuzzy_control_active
9.647,03:54:42.904,1,1.9309,0.0000,0.0049,0.0000,2.9709,0.0049,0.5506,0.0000,0.5506,0.0000,1,fuzzy_control_active
9.748,03:54:43.004,1,1.9487,0.0000,-0.1800,0.0000,2.9887,-0.1800,0.5586,0.3200,0.5572,1.6000,1,fuzzy_control_active
9.847,03:54:43.104,1,1.9309,-0.1922,-0.1781,0.0210,2.9709,-0.1781,0.5482,0.0640,0.5586,0.3200,1,fuzzy_control_active
9.948,03:54:43.204,1,1.9309,0.0000,-0.1781,0.0000,2.9709,-0.1781,0.5508,0.0128,0.5482,0.0640,1,fuzzy_control_active
10.047,03:54:43.304,1,1.9309,0.0000,-0.1781,0.0000,2.9709,-0.1781,0.5527,0.0026,0.5508,0.0128,1,fuzzy_control_active
10.147,03:54:43.404,1,1.9309,0.0000,-0.1742,0.0427,2.9709,-0.1742,0.5526,0.0005,0.5527,0.0026,1,fuzzy_control_active
10.248,03:54:43.504,1,1.9309,0.0000,-0.1703,0.0432,2.9709,-0.1703,0.5525,0.0001,0.5526,0.0005,1,fuzzy_control_active
10.348,03:54:43.604,1,1.9487,0.1883,-0.1411,0.3086,2.9887,-0.1411,0.5565,0.0000,0.5525,0.0001,1,fuzzy_control_active
10.447,03:54:43.704,1,1.9309,-0.2027,-0.1177,0.2658,2.9709,-0.1177,0.5437,0.0000,0.5565,0.0000,1,fuzzy_control_active
10.547,03:54:43.804,1,1.9309,0.0000,-0.1041,0.1448,2.9709,-0.1041,0.5419,0.0000,0.5419,0.0000,1,fuzzy_control_active
10.647,03:54:43.904,1,1.9309,0.0000,-0.0944,0.0933,2.9709,-0.0944,0.5399,0.0000,0.5419,0.0000,1,fuzzy_control_active
10.747,03:54:44.004,1,1.9309,0.0000,-0.0808,0.1445,2.9709,-0.0808,0.5368,0.0000,0.5368,0.0000,1,fuzzy_control_active
10.847,03:54:44.104,1,1.9309,0.0000,-0.0671,0.1470,2.9709,-0.0671,0.5342,0.0000,0.5342,0.0000,1,fuzzy_control_active
10.947,03:54:44.204,1,1.9309,0.0000,-0.0477,0.2168,2.9709,-0.0477,0.5349,0.0000,0.5349,0.0000,1,fuzzy_control_active
11.047,03:54:44.304,1,1.9309,0.0000,-0.0087,0.2847,2.9709,-0.0087,0.5356,0.0000,0.5356,0.0000,1,fuzzy_control_active
11.147,03:54:44.404,1,1.9309,0.0000,0.0049,0.1354,2.9709,0.0049,0.5379,0.0000,0.5379,0.0000,1,fuzzy_control_active
11.247,03:54:44.504,1,1.9309,0.0000,0.0049,0.0000,2.9709,0.0049,0.5446,-0.0223,0.5399,-0.1116,1,fuzzy_control_active
11.347,03:54:44.604,1,1.9309,0.0000,0.0049,0.0000,2.9709,0.0049,0.5479,-0.0045,0.5446,-0.0223,1,fuzzy_control_active
11.447,03:54:44.704,1,1.9309,0.0000,0.0068,0.0193,2.9709,0.0068,0.5489,-0.2143,0.5479,-0.0045,1,fuzzy_control_active
11.547,03:54:44.804,1,1.9309,0.0000,0.0049,-0.0210,2.9709,0.0049,0.5499,-0.0429,0.5489,-0.2143,1,fuzzy_control_active
11.647,03:54:44.904,1,1.9309,0.0000,0.0068,0.0213,2.9709,0.0068,0.5502,-0.2206,0.5499,-0.0429,1,fuzzy_control_active
11.747,03:54:45.004,1,1.9309,0.0000,0.0049,-0.0209,2.9709,0.0049,0.5508,-0.0441,0.5502,-0.2206,1,fuzzy_control_active
11.847,03:54:45.104,1,1.9309,0.0000,0.0049,0.0000,2.9709,0.0049,0.5522,-0.0088,0.5508,-0.0441,1,fuzzy_control_active
11.947,03:54:45.204,1,1.9309,0.0000,0.0049,0.0000,2.9709,0.0049,0.5532,-0.0018,0.5522,-0.0088,1,fuzzy_control_active
12.047,03:54:45.304,1,1.9309,0.0000,0.0049,0.0000,2.9709,0.0049,0.5539,-0.0004,0.5532,-0.0018,1,fuzzy_control_active
12.147,03:54:45.404,1,1.9309,0.0000,0.0049,0.0000,2.9709,0.0049,0.5544,-0.0001,0.5539,-0.0004,1,fuzzy_control_active
12.247,03:54:45.504,1,1.9309,0.0000,0.0049,0.0000,2.9709,0.0049,0.5547,-0.0000,0.5544,-0.0001,1,fuzzy_control_active
12.347,03:54:45.604,1,1.9309,0.0000,0.0049,0.0000,2.9709,0.0049,0.5549,-0.0000,0.5547,-0.0000,1,fuzzy_control_active
12.447,03:54:45.704,1,1.9309,0.0000,0.0049,0.0000,2.9709,0.0049,0.5551,-0.0000,0.5549,-0.0000,1,fuzzy_control_active
12.547,03:54:45.804,1,1.9309,0.0000,0.0049,0.0000,2.9709,0.0049,0.5552,-0.0000,0.5551,-0.0000,1,fuzzy_control_active
12.647,03:54:45.904,1,1.9309,0.0000,0.0049,0.0000,2.9709,0.0049,0.5553,-0.0000,0.5552,-0.0000,1,fuzzy_control_active
12.747,03:54:46.004,1,1.9309,0.0000,0.0049,0.0000,2.9709,0.0049,0.5554,-0.0000,0.5553,-0.0000,1,fuzzy_control_active
12.847,03:54:46.104,1,1.9309,0.0000,0.0049,0.0000,2.9709,0.0049,0.5554,-0.0000,0.5554,-0.0000,1,fuzzy_control_active
12.947,03:54:46.204,1,1.9309,0.0000,0.0049,0.0000,2.9709,0.0049,0.5554,-0.0000,0.5554,-0.0000,1,fuzzy_control_active
13.048,03:54:46.304,1,1.9309,0.0000,0.0068,0.0206,2.9709,0.0068,0.5542,-0.2125,0.5554,-0.0000,1,fuzzy_control_active
13.148,03:54:46.404,1,1.9309,0.0000,0.0049,-0.0210,2.9709,0.0049,0.5535,-0.0425,0.5535,-0.0425,1,fuzzy_control_active
13.248,03:54:46.504,1,1.9309,0.0000,0.0049,0.0000,2.9709,0.0049,0.5541,-0.0085,0.5541,-0.0085,1,fuzzy_control_active
13.348,03:54:46.604,1,1.9309,0.0000,0.0049,0.0000,2.9709,0.0049,0.5545,-0.0017,0.5545,-0.0017,1,fuzzy_control_active
13.448,03:54:46.704,1,1.9309,0.0000,0.2268,1.0000,2.9709,0.2268,0.5470,-1.6003,0.5470,-1.6003,1,fuzzy_control_active
13.547,03:54:46.804,1,1.9309,0.0000,0.2268,0.0000,2.9709,0.2268,0.5417,-0.8724,0.5417,-0.8724,1,fuzzy_control_active
13.647,03:54:46.904,1,1.9309,0.0000,0.2229,-0.0423,2.9709,0.2229,0.5313,-0.5130,0.5380,-0.7268,1,fuzzy_control_active
13.747,03:54:47.004,1,1.9309,0.0000,0.2229,0.0000,2.9709,0.2229,0.5318,-0.5883,0.5313,-0.5130,1,fuzzy_control_active
13.847,03:54:47.104,1,1.9309,0.0000,0.2209,-0.0199,2.9709,0.2209,0.5296,-0.5059,0.5318,-0.5883,1,fuzzy_control_active
13.947,03:54:47.204,1,1.9309,0.0000,0.2092,-0.1203,2.9709,0.2092,0.5307,-0.2423,0.5296,-0.5059,1,fuzzy_control_active
14.047,03:54:47.304,1,1.9309,0.0000,0.1703,-0.4231,2.9709,0.1703,0.5363,-0.0485,0.5307,-0.2423,1,fuzzy_control_active
14.147,03:54:47.404,1,1.9309,0.0000,0.1333,-0.3939,2.9709,0.1333,0.5391,-0.0097,0.5363,-0.0485,1,fuzzy_control_active
14.247,03:54:47.504,1,1.9309,0.0000,0.0049,-1.0000,2.9709,0.0049,0.5440,-0.0019,0.5391,-0.0097,1,fuzzy_control_active
14.347,03:54:47.604,1,1.9211,-0.1023,0.0068,0.0204,2.9611,0.0068,0.5380,-0.3024,0.5440,-0.0019,1,fuzzy_control_active
14.447,03:54:47.704,1,1.2657,-2.0800,0.0049,-0.0207,2.3057,0.0049,0.4666,-0.0744,0.5380,-0.3024,1,fuzzy_control_active
14.547,03:54:47.804,1,1.3172,0.5278,0.0049,0.0000,2.3572,0.0049,0.4625,-0.0934,0.4666,-0.0744,1,fuzzy_control_active
14.647,03:54:47.904,1,0.6284,-2.0800,0.0049,0.0000,1.6684,0.0049,0.3437,-0.0389,0.4625,-0.0934,1,fuzzy_control_active
14.747,03:54:48.004,1,0.5749,-0.5707,-0.0263,-0.3318,1.6149,-0.0263,0.2981,1.3408,0.3437,-0.0389,1,fuzzy_control_active
14.847,03:54:48.104,1,0.5030,-0.7712,-0.0282,-0.0209,1.5430,-0.0282,0.2467,0.6622,0.2981,1.3408,1,fuzzy_control_active
14.947,03:54:48.204,1,0.4298,-0.7346,-0.0126,0.1562,1.4698,-0.0126,0.2024,-0.0005,0.2467,0.6622,1,fuzzy_control_active
15.047,03:54:48.304,1,0.4108,-0.2177,-0.0029,0.1115,1.4508,-0.0029,0.1697,-0.2438,0.1697,-0.2438,1,fuzzy_control_active
15.147,03:54:48.404,1,0.7445,2.0800,-0.0087,-0.0622,1.7845,-0.0087,0.2495,1.5124,0.2495,1.5124,1,fuzzy_control_active
15.248,03:54:48.504,1,0.6766,-0.6891,-0.0126,-0.0395,1.7166,-0.0126,0.2384,0.9499,0.2384,0.9499,1,fuzzy_control_active
15.348,03:54:48.604,1,0.6363,-0.4171,-0.0243,-0.1208,1.6763,-0.0243,0.2304,1.2625,0.2304,1.2625,1,fuzzy_control_active
15.448,03:54:48.704,1,0.5899,-0.5068,-0.0302,-0.0637,1.6299,-0.0302,0.2228,1.2944,0.2228,1.2944,1,fuzzy_control_active
15.547,03:54:48.804,1,0.1628,-2.0800,-0.0535,0.1932,1.2028,-0.0535,0.2166,1.7957,0.2166,1.7957,1,fuzzy_control_active
15.647,03:54:48.904,1,0.6766,2.0800,-0.0243,0.2947,1.7166,-0.0243,0.2326,-1.0688,0.1516,0.3724,1,fuzzy_control_active
15.747,03:54:49.004,1,1.6773,2.0800,0.0049,0.3160,2.7173,0.0049,0.3428,-0.3460,0.2326,-1.0688,1,fuzzy_control_active
15.847,03:54:49.104,1,1.9487,2.0800,-0.1898,-1.0000,2.9887,-0.1898,0.4200,1.5308,0.3428,-0.3460,1,fuzzy_control_active
15.947,03:54:49.204,1,1.9309,-0.1843,-0.1197,0.7249,2.9709,-0.1197,0.4487,0.3062,0.4200,1.5308,1,fuzzy_control_active
16.048,03:54:49.304,1,1.9309,0.0000,-0.0574,0.6795,2.9709,-0.0574,0.4735,0.0612,0.4487,0.3062,1,fuzzy_control_active
16.148,03:54:49.404,1,1.9309,0.0000,0.0049,0.6859,2.9709,0.0049,0.4947,-0.2065,0.4735,0.0612,1,fuzzy_control_active
16.247,03:54:49.504,1,1.9309,0.0000,0.0049,0.0000,2.9709,0.0049,0.5129,-0.0413,0.4947,-0.2065,1,fuzzy_control_active
16.347,03:54:49.604,1,1.9309,0.0000,0.0049,0.0000,2.9709,0.0049,0.5257,-0.0083,0.5129,-0.0413,1,fuzzy_control_active
16.447,03:54:49.704,1,1.8279,-1.0474,0.0068,0.0198,2.8679,0.0068,0.5020,-0.2034,0.5257,-0.0083,1,fuzzy_control_active
16.547,03:54:49.804,1,1.6489,-1.7066,0.0049,-0.0186,2.6889,0.0049,0.4670,-0.0407,0.5020,-0.2034,1,fuzzy_control_active
16.647,03:54:49.904,1,1.3435,-2.0800,0.0068,0.0181,2.3835,0.0068,0.4169,-0.3211,0.4670,-0.0407,1,fuzzy_control_active
16.747,03:54:50.004,1,1.1430,-1.9362,0.0049,-0.0188,2.1830,0.0049,0.3881,-0.0969,0.4169,-0.3211,1,fuzzy_control_active
16.847,03:54:50.104,1,0.9965,-1.6073,0.0049,0.0000,2.0365,0.0049,0.3501,-0.1786,0.3881,-0.0969,1,fuzzy_control_active
16.947,03:54:50.204,1,0.8449,-1.6683,0.0049,0.0000,1.8849,0.0049,0.3059,-0.1221,0.3501,-0.1786,1,fuzzy_control_active
17.047,03:54:50.304,1,0.7621,-0.8658,0.1002,0.9974,1.8021,0.1002,0.2810,-1.6244,0.3059,-0.1221,1,fuzzy_control_active
17.147,03:54:50.404,1,0.7710,0.1003,0.0944,-0.0657,1.8110,0.0944,0.2776,-1.7736,0.2810,-1.6244,1,fuzzy_control_active
17.247,03:54:50.504,1,0.7800,0.0947,0.0788,-0.1641,1.8200,0.0788,0.2727,-1.1884,0.2727,-1.1884,1,fuzzy_control_active
17.347,03:54:50.604,1,0.7890,0.1034,0.0652,-0.1556,1.8290,0.0652,0.2690,-0.7608,0.2690,-0.7608,1,fuzzy_control_active
17.447,03:54:50.704,1,0.8166,0.2849,0.1800,1.0000,1.8566,0.1800,0.2737,-1.7522,0.2737,-1.7522,1,fuzzy_control_active
17.547,03:54:50.804,1,0.8641,0.2119,0.1917,0.0644,1.9041,0.1917,0.2828,-1.9901,0.2799,-1.9504,1,fuzzy_control_active
17.647,03:54:50.904,1,0.8934,0.3183,0.1898,-0.0211,1.9334,0.1898,0.2886,-1.9980,0.2828,-1.9901,1,fuzzy_control_active
17.747,03:54:51.004,1,1.9309,2.0800,0.1645,-0.2530,2.9709,0.1645,0.3820,-0.3996,0.2886,-1.9980,1,fuzzy_control_active
17.847,03:54:51.104,1,1.5920,-2.0800,0.1139,-0.5352,2.6320,0.1139,0.3647,-0.0799,0.3820,-0.3996,1,fuzzy_control_active
17.947,03:54:51.204,1,1.9309,2.0800,0.0185,-0.9949,2.9709,0.0185,0.4353,-0.0160,0.3647,-0.0799,1,fuzzy_control_active
